Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
139,19-May,20,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Arabic Box,So'z: نية (niyya) — niyat,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Ishonchli arab lug'atlari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Bugun shu so'zni ovoz chiqarib 3 marta takrorla.
140,20-May,20,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Mental Models,Margin of safety,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Farnam Street,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugungi bitta qarorni shu model orqali ko'rib chiq.
141,21-May,21,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Communication Box,Qisqa va aniq gapirish,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Communication tadqiqotlari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,"Bugungi suhbatda kamroq gapir, ko'proq tingla."
142,22-May,21,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,AI Box,AI'dan ustoz (tutor) sifatida foydalanish,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Rasmiy model hujjatlari (Anthropic/OpenAI/Google),08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun bitta takroriy ishni AI'ga top va vaqtingni o'lcha.
143,23-May,21,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,History Box,Bag'dod 'Donolik uyi' (Bayt al-Hikma),Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,E'tiborli tarixchilar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Shu voqeadan bitta xulosani yozib qo'y.
144,24-May,21,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,Leadership Box,Vizyon yaratish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Leadership tadqiqotlari + HBR,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun jamoangdagi bir kishini chin ko'ngildan maqta.
145,25-May,21,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,Critical Thinking,False dilemma — soxta ikkilik,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Mantiq / critical thinking darsliklari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bir fikringga 'qaerdan bilaman?' deb savol ber.
146,26-May,21,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,Technology Box,Ma'lumotlar — 'yangi neft' mi?,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Rasmiy mahsulot hujjatlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun shu vositani 10 daqiqa sinab ko'r.
147,27-May,21,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,Success Stories,Sara Blakely (Spanx) — noldan,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Tekshirilgan biografiyalar,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Shu hikoyadan bitta saboq olib bugun qo'lla.
148,28-May,22,Mahorat va kasb,Mahorat va kasb · Mahorat,Q2,Decision Making,Ikki yo'lli eshik tamoyili,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Kahneman,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugungi qarorni 'eng yomon holatda nima bo'ladi?' bilan ko'r.
149,29-May,22,Mahorat va kasb,Mahorat va kasb · Mustahkamlash,Q2,Islamic Wisdom,Husnul xuluq — go'zal axloq,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Qur'on va sahih hadis (to'g'ri nisbat),07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu amalni bir marta niyat bilan bajar.
150,30-May,22,Mahorat va kasb,Mahorat va kasb · Mustahkamlash,Q2,Life Lessons,Hozirgi onda yashash,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Stoik falsafa,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu fikr bilan bir lahza to'xtab o'yla.
151,31-May,22,Mahorat va kasb,Mahorat va kasb · Mustahkamlash,Q2,Book Box,Rich Dad Poor Dad — aktiv va passiv farqi,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Asl kitob + muallif intervyulari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Bugun shu g'oyani bitta qaroringda sinab ko'r.
152,1-Iyun,22,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,Habits,Trigger (ishora) yaratish,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",Charles Duhigg,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Ertangi kun uchun bitta kichik odat belgila.
153,2-Iyun,22,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,Money Box,Yaxshi qarz va yomon qarz farqi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Bogle / indeks asoslari,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Daromadingning 1 foizini bugun chetga qo'y.
154,3-Iyun,22,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,English Box,'A blessing in disguise',Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Merriam-Webster,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Eslab qolish uchun o'zing bitta gap tuz.
155,4-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,Mind Box,Flow — to'liq berilish holati,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Tekshirilgan psixologiya tadqiqotlari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Keyingi safar buni o'zingda kuzat.
156,5-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,Productivity,Parkinson qonuni,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Ali Abdaal,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Telefoningni 1 soat boshqa xonaga qo'y va ishla.
157,6-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,History Box,Gutenberg matbaasi inqilobi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun shu saboqni o'z hayotingga qanday bog'laysan?
158,7-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Asoslar,Q2,Business Box,B2B va B2C farqi,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Asoschilar memuarlari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Ushbu modelni o'z loyihangga moslab ko'r.
159,8-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,Interesting Facts,Toshbaqalarning ajoyib umri,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Universitet/ensiklopediya,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Bugun shu faktni bir kishiga aytib ber.
160,9-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,Marketing Box,Mijoz avatari (persona),Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Ogilvy / Seth Godin,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Sarlavhangni 3 xil variantda sinab ko'r.
161,10-Iyun,23,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,Arabic Box,So'z: رحمة (rahma) — rahm-shafqat,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Klassik/MSA manbalari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu iborani bilganmidingiz? Izohda yozing.
162,11-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,Mental Models,Compounding — har joyda to'planish,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Munger — latticework,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Shu modelni qaysi muammoga qo'llaysan?
163,12-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,Communication Box,Hikoya bilan tushuntirish,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Chris Voss (negotiation),08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Bugun bir kishini gapini bo'lmasdan oxirigacha eshit.
164,13-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,AI Box,Prompt'da rol berish (persona),"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",E'tiborli AI tadqiqotlari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Shu promptni bugun o'zingda sinab ko'r.
165,14-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Chuqurlashish,Q2,Leadership Box,Jamoa psixologik xavfsizligi,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bitta qarorni jamoang bilan maslahatlash.
166,15-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Critical Thinking,Appeal to authority xatosi,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Kognitiv fan,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Keyingi xabarni o'qiganda manbasini so'ra.
167,16-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Technology Box,No-code/low-code inqilobi,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Nufuzli texno-jurnalistika,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Keyingi 6 oyda o'rganmoqchi bo'lgan ko'nikmani yoz.
168,17-Iyun,24,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Success Stories,Jack Ma — rad etishlar tarixi,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Rasmiy intervyular,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Sen qaysi qadamdan boshlaysan?
169,18-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Decision Making,"Maslahatlash, lekin o'zing qaror qil",Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Annie Duke — Thinking in Bets,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Qaroringni 10/10/10 qoidasi bilan sinab ko'r.
170,19-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Islamic Wisdom,Sadaqa va saxovat,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",E'tirof etilgan ulamolar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bir kishiga chin ko'ngildan yaxshilik qil.
171,20-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Life Lessons,Boshqalarning fikri seniki emas,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun bir kishidan kechirim so'ra yoki rahmat ayt.
172,21-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Amaliyot,Q2,Book Box,Mindset (Dweck) — o'sish tafakkuri,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Universitet konspektlari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Ushbu kitobni o'qiganmisiz? Asosiy saboqni izohda yozing.
173,22-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,History Box,Sanoat inqilobi saboqlari,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Tarix takrorlanmasligi uchun bugun nima qilasan?
174,23-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,Habits,Kichik g'alabalar va momentum,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",BJ Fogg (Stanford),07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Shu odatni mavjud odatingga ulab qo'y.
175,24-Iyun,25,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,Money Box,Lifestyle inflation tuzog'i,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Markaziy bank moliyaviy savod,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bu oygi bitta moliyaviy maqsadingni yozib qo'y.
176,25-Iyun,26,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,English Box,'Bite the bullet' — chidab bajarmoq,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Ishonchli ESL manbalari,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Shu so'zni bugun ovoz chiqarib mashq qil.
177,26-Iyun,26,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,Mind Box,Imposter sindromi,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Universitet psix. manbalari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun bitta qaroringda bu xatoga e'tibor ber.
178,27-Iyun,26,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,Productivity,Energiya boshqaruvi (vaqt emas),Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,GTD (David Allen),07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun ertaga uchun 3 ta MIT (eng muhim ish) yoz.
179,28-Iyun,26,Pul va moliyaviy savod,Pul va moliyaviy savod · Mahorat,Q2,Business Box,Narx strategiyasi asoslari,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Rasmiy kompaniya case-study'lari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun bitta gipotezangni kichik test bilan tekshir.
180,29-Iyun,26,Pul va moliyaviy savod,Pul va moliyaviy savod · Mustahkamlash,Q2,Interesting Facts,Eyfel minorasi issiqda kengayadi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Birlamchi tadqiqot,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Shu hodisa ortidagi sababni o'ylab ko'r.
181,30-Iyun,26,Pul va moliyaviy savod,Pul va moliyaviy savod · Mustahkamlash,Q2,Marketing Box,Voronka (funnel) bosqichlari,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Rasmiy brend case-study'lari,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun bitta mijozdan 'nega tanladingiz?' deb so'ra.
182,1-Iyul,26,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,Arabic Box,So'z: حكمة (hikma) — hikmat,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,E'tirofli til resurslari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu so'zni bugun bir jumlada eslab ko'r.
183,2-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,Mental Models,Feedback loop — qaytar aloqa,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Modelning asl sohasi (fizika/biologiya...),07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugun shu nuqtai nazardan bitta masalaga qara.
184,3-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,Communication Box,Tanqidni to'g'ri yetkazish,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Ritorika klassikalari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Shu texnikani keyingi suhbatda sinab ko'r.
185,4-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,AI Box,AI bilan kontent rejalashtirish,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Universitet kurslari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun AI bilan bitta g'oyani brainstorming qil.
186,5-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,Leadership Box,Tinglovchi lider,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Harbiy/sport/biznes case'lar,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bir mas'uliyatni ishonib topshir (delegatsiya).
187,6-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,Critical Thinking,Bayes'cha fikrlash asosi,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Farnam Street / falsafa asoslari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bitta qarama-qarshi fikrni adolatli o'qib chiq.
188,7-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Asoslar,Q3,Technology Box,Internet qanday ishlaydi (sodda),Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Standart tashkilotlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun bitta raqamli gigiena qadamini bajar.
189,8-Iyul,27,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,Success Stories,Steve Jobs — o'z kompaniyasidan haydalishi,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,E'tiborli jurnalistika,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Bugun bitta 'rad javob'dan qo'rqmasdan harakat qil.
190,9-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,Decision Making,Emotsiyani sovutish (24 soat qoidasi),Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Qaror fani (decision science),07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugun bitta kichik qarorni 24 soat sovutib ko'r.
191,10-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,Islamic Wisdom,Adolat tamoyili,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Klassik asarlar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu fazilatni bitta ishda ko'rsat.
192,11-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,Life Lessons,"Mukammallik emas, harakat",Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Umuminsoniy haqiqatlar,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Shu saboqni bugun bitta ishda yasha.
193,12-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,Book Box,Ego is the Enemy — manmanlik dushman,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Blinkist (tekshirilgan),07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Shu fikrni bugun bir amalga aylantir.
194,13-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,History Box,Renessans nega Florensiyada portladi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,E'tiborli tarixchilar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Shu voqeadan bitta xulosani yozib qo'y.
195,14-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Chuqurlashish,Q3,Habits,'Hech qachon ikki marta o'tkazma' qoidasi,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",James Clear — Atomic Habits,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Bugun shu odatni 2 daqiqalik versiyada boshla.
196,15-Iyul,28,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,Money Box,"Daromad emas, sof boylik (net worth)",Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,The Psychology of Money (Housel),07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bugun bitta keraksiz xarajatni jamg'armaga yo'naltir.
197,16-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,English Box,'Cut to the chase' — asosiy gapga o'tmoq,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Oxford / Cambridge lug'ati,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Bugun shu iborani bitta jumlada ishlat.
198,17-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,Mind Box,Negativity bias — yomonga ko'proq e'tibor,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Kahneman / Cialdini,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun shu his kelganda nomini ayt va bir nafas ol.
199,18-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,Productivity,2 daqiqalik qoida (GTD),Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Cal Newport — Deep Work,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun eng muhim bitta ishni birinchi qil.
200,19-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,Business Box,Cash flow — biznes qoni,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Harvard Business Review,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun so'ra: kim sening haqiqiy mijozing?
201,20-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,Interesting Facts,Nilufar bargi o'z-o'zini tozalaydi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Ilmiy jurnallar,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Buni bilarmidingiz? Yana qiziq faktni izohda yozing.
202,21-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Amaliyot,Q3,Marketing Box,Word of mouth kuchi,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Cialdini — Influence,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun taklifingni mijoz ehtiyoji tilida qayta yoz.
203,22-Iyul,29,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,Arabic Box,So'z: أمانة (amana) — omonat,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Ishonchli arab lug'atlari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Bugun shu so'zni ovoz chiqarib 3 marta takrorla.
204,23-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,Mental Models,Antifragility — zarbadan kuchayish,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Farnam Street,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugungi bitta qarorni shu model orqali ko'rib chiq.
205,24-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,Communication Box,'Yo'q' deyishni o'rganish,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Communication tadqiqotlari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,"Bugungi suhbatda kamroq gapir, ko'proq tingla."
206,25-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,AI Box,Maxfiylik va AI — nimaga ehtiyot,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Rasmiy model hujjatlari (Anthropic/OpenAI/Google),08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun bitta takroriy ishni AI'ga top va vaqtingni o'lcha.
207,26-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,Leadership Box,Inqirozda xotirjamlik,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Leadership tadqiqotlari + HBR,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun jamoangdagi bir kishini chin ko'ngildan maqta.
208,27-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,Critical Thinking,First principles — birinchi tamoyildan,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Mantiq / critical thinking darsliklari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bir fikringga 'qaerdan bilaman?' deb savol ber.
